Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
pain,301,2.13,(1.81),6.5,(2.49),3.71,(2.53),88,VERB
paint,924,5.62,(1.72),4.1,(2.36),5.75,(1.71),37,PROPN
palace,302,7.19,(1.78),5.1,(2.75),5.69,(2.17),38,PROPN
pamphlet,925,4.79,(1.05),3.62,(2.02),4.63,(1.48),3,PROPN
pancakes,523,6.08,(1.83),4.06,(2.13),5.76,(1.61),.,NOUN
panic,601,3.12,(1.84),7.02,(2.02),3.2,(1.67),22,PROPN
paper,303,5.2,(1.21),2.5,(1.85),4.47,(1.67),157,NOUN
paradise,304,8.72,(0.60),5.12,(3.38),6.03,(2.79),12,NOUN
paralysis,926,1.98,(1.44),4.73,(2.83),2.56,(1.82),6,PROPN
part,927,5.11,(1.78),3.82,(2.24),4.75,(1.59),500,NOUN
party,305,7.86,(1.83),6.69,(2.84),5.83,(2.46),216,NOUN
passage,928,5.28,(1.44),4.36,(2.13),5.02,(1.62),49,NOUN
passion,306,8.03,(1.27),7.26,(2.57),6.13,(2.24),28,PROPN
pasta,524,6.69,(1.64),4.94,(2.04),5.8,(1.47),.,PROPN
patent,307,5.29,(1.08),3.5,(1.84),4.9,(1.79),35,NOUN
patient,929,5.29,(1.89),4.21,(2.37),4.9,(2.31),86,NOUN
patriot,930,6.71,(1.69),5.17,(2.53),5.9,(1.54),10,PROPN
peace,308,7.72,(1.75),2.95,(2.55),5.45,(2.84),198,VERB
penalty,931,2.83,(1.56),5.1,(2.31),3.95,(1.97),14,NOUN
pencil,309,5.22,(0.68),3.14,(1.90),4.78,(1.73),34,NOUN
penis,932,5.9,(1.72),5.54,(2.63),5.92,(2.54),.,NOUN
penthouse,933,6.81,(1.64),5.52,(2.49),6.52,(1.82),1,NOUN
people,525,7.33,(1.70),5.94,(2.09),6.14,(2.02),847,NOUN
perfection,310,7.25,(2.05),5.95,(2.73),6.71,(2.26),11,NOUN
perfume,934,6.76,(1.48),5.05,(2.36),5.93,(1.69),10,PROPN
person,311,6.32,(1.74),4.19,(2.45),5.35,(2.02),175,VERB
pervert,312,2.79,(2.12),6.26,(2.61),4.72,(2.83),1,PROPN
pest,313,3.13,(1.82),5.62,(2.15),5.29,(2.13),4,NOUN
pet,935,6.79,(2.32),5.1,(2.59),5.85,(2.28),8,NOUN
phase,936,5.17,(0.79),3.98,(1.82),4.65,(1.72),72,PROPN
pie,314,6.41,(1.89),4.2,(2.40),5.35,(1.78),14,NOUN
pig,937,5.07,(1.97),4.2,(2.42),5.34,(1.88),8,PROPN
pillow,315,7.92,(1.40),2.97,(2.52),4.56,(2.17),8,VERB
pinch,938,3.83,(1.70),4.59,(2.10),4.76,(1.73),6,PROPN
pistol,939,4.2,(2.58),6.15,(2.19),5.05,(2.77),27,PROPN
pity,940,3.37,(1.57),3.72,(2.02),4.12,(1.82),14,VERB
pizza,526,6.65,(2.23),5.24,(2.09),5.69,(1.90),3,NOUN
plain,941,4.39,(1.46),3.52,(2.05),4.71,(1.68),48,PROPN
plane,539,6.43,(1.98),6.14,(2.39),4.78,(2.19),114,PROPN
plant,316,5.98,(1.83),3.62,(2.25),4.71,(2.12),125,VERB
pleasure,317,8.28,(0.92),5.74,(2.81),6.15,(2.31),62,PROPN
poetry,318,5.86,(1.91),4.0,(2.85),5.31,(1.81),88,NOUN
poison,319,1.98,(1.44),6.05,(2.82),3.1,(2.44),10,NOUN
politeness,320,7.18,(1.50),3.74,(2.37),5.74,(1.70),5,NOUN
pollute,321,1.85,(1.11),6.08,(2.42),4.92,(2.51),1,PROPN
poster,942,5.34,(1.75),3.93,(2.56),4.91,(1.87),4,VERB
poverty,322,1.67,(0.90),4.87,(2.66),3.21,(2.21),20,NOUN
power,323,6.54,(2.21),6.67,(1.87),7.28,(2.35),342,VERB
powerful,324,6.84,(1.80),5.83,(2.69),7.19,(2.52),63,NOUN
prairie,325,5.75,(1.43),3.41,(2.17),4.62,(2.13),21,NOUN
present,943,6.95,(1.85),5.12,(2.39),5.83,(1.78),377,PROPN
