Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
inferior,812,3.09,(1.90),3.27,(2.07),3.0,(2.35),7,NOUN
inhabitant,813,4.79,(1.36),4.74,(1.52),5.58,(1.26),.,ADV
injury,595,3.16,(2.03),5.56,(2.29),3.8,(1.94),27,VERB
ink,229,5.0,(1.11),3.54,(1.85),4.54,(2.40),7,NOUN
innocent,814,6.25,(1.37),4.65,(1.69),5.16,(1.68),37,PROPN
insane,815,3.58,(1.89),5.68,(2.29),4.95,(2.17),13,PROPN
insect,816,4.5,(1.93),4.15,(2.23),4.9,(2.25),14,PROPN
insecure,230,2.2,(0.92),3.9,(1.60),2.5,(1.96),3,PROPN
insolent,231,4.71,(1.76),5.69,(2.55),4.88,(1.89),2,NOUN
inspire,232,6.4,(2.59),5.07,(1.94),6.13,(1.92),3,VERB
inspired,233,6.6,(1.85),6.0,(2.47),6.45,(2.19),25,NOUN
insult,817,3.0,(1.20),5.37,(2.39),4.44,(2.15),7,PROPN
intellect,818,6.72,(2.19),4.78,(1.90),6.83,(1.82),5,PROPN
intercourse,819,7.7,(1.66),7.35,(1.93),6.75,(1.71),9,NOUN
interest,234,7.0,(1.48),5.18,(2.32),5.73,(2.33),330,ADJ
intimate,821,7.74,(1.05),7.05,(1.90),6.05,(2.09),21,NOUN
intruder,822,3.78,(2.18),6.44,(2.33),4.83,(2.28),1,NOUN
invader,823,3.75,(1.94),4.3,(2.18),3.95,(2.39),1,NOUN
invest,824,5.64,(2.30),5.41,(2.09),5.68,(2.17),3,PROPN
iron,565,5.28,(0.89),4.0,(2.25),5.25,(1.11),43,PROPN
irritate,235,2.87,(1.64),5.13,(2.39),5.2,(2.27),.,PROPN
item,825,5.32,(0.78),3.5,(2.20),5.09,(1.66),54,NOUN
jail,236,2.0,(1.41),5.13,(2.90),3.13,(2.45),21,NOUN
jealousy,237,2.65,(1.23),5.55,(2.68),3.35,(1.87),4,NOUN
jelly,238,5.75,(0.97),4.08,(2.61),5.08,(1.62),3,NOUN
jewel,239,6.3,(2.16),5.6,(2.80),4.8,(1.81),1,NOUN
joke,826,8.19,(0.81),6.67,(1.93),6.24,(1.95),22,NOUN
jolly,827,7.38,(2.01),5.68,(2.78),6.33,(1.85),4,PROPN
journal,828,4.95,(1.23),4.45,(1.32),4.85,(0.75),42,NOUN
joy,240,8.57,(0.76),8.14,(0.86),5.93,(2.20),40,PROPN
joyful,241,7.57,(1.65),6.36,(2.17),6.21,(1.31),1,NOUN
jug,829,5.45,(2.15),4.23,(2.25),5.18,(1.94),6,NOUN
justice,242,7.42,(1.78),4.92,(2.35),6.25,(2.70),114,NOUN
kerchief,830,5.56,(1.34),3.67,(1.75),5.39,(1.42),1,ADV
kerosene,243,4.86,(1.29),4.31,(2.53),4.31,(2.06),6,NOUN
ketchup,831,5.52,(1.44),3.86,(1.85),5.19,(1.83),1,VERB
kettle,832,5.19,(1.08),3.57,(2.44),4.95,(1.70),3,VERB
key,833,5.35,(1.57),3.95,(2.11),5.15,(2.39),88,NOUN
kick,834,4.5,(1.99),4.23,(2.43),5.32,(1.94),16,NOUN
kids,835,6.84,(1.46),5.26,(1.94),4.79,(1.78),32,NOUN
killer,244,2.64,(1.39),7.07,(2.30),4.57,(2.41),21,VERB
kind,245,7.5,(1.18),3.8,(2.49),5.3,(1.77),313,VERB
kindness,246,7.05,(1.54),5.0,(2.31),5.11,(2.18),5,NOUN
king,247,7.0,(1.70),5.6,(2.63),7.5,(1.84),88,NOUN
kiss,248,8.29,(1.20),6.87,(2.59),6.57,(2.47),17,VERB
kitten,517,6.72,(2.37),5.0,(2.45),6.92,(1.93),5,NOUN
knife,596,4.6,(2.14),5.84,(1.77),5.04,(2.09),76,VERB
knot,836,4.45,(1.43),3.71,(2.15),4.85,(1.87),8,NOUN
knowledge,249,7.55,(1.50),5.95,(2.33),6.35,(2.62),145,NOUN
lake,250,6.0,(1.41),4.2,(1.75),4.5,(1.51),54,PROPN
lamb,837,5.45,(1.85),3.3,(2.43),4.95,(2.37),7,VERB
lamp,838,5.1,(0.77),3.71,(2.15),5.0,(1.73),18,VERB
lantern,839,5.5,(1.10),4.3,(2.18),5.3,(2.03),13,PROPN
laughter,251,8.55,(0.83),6.8,(2.67),6.2,(2.71),22,VERB
lavish,840,5.68,(2.17),4.91,(2.27),5.5,(1.79),3,VERB
lawn,841,5.26,(0.87),4.21,(1.78),5.47,(0.96),15,NOUN
lawsuit,842,3.2,(1.67),4.33,(2.33),4.05,(2.14),1,VERB
lazy,843,4.43,(1.91),2.29,(1.45),4.14,(1.82),9,NOUN
leader,844,7.38,(1.72),6.19,(1.94),7.43,(1.80),74,NOUN
learn,252,6.93,(1.39),5.13,(2.17),6.0,(2.59),84,NOUN
legend,845,6.37,(1.21),5.58,(1.39),5.79,(1.72),26,PROPN
leisurely,253,6.71,(1.93),2.82,(1.81),5.0,(2.06),5,NUM
leprosy,254,2.09,(1.81),5.92,(2.11),4.0,(1.61),1,VERB
lesbian,597,6.0,(2.33),5.76,(2.55),5.8,(2.24),.,NOUN
letter,846,6.26,(1.52),5.21,(2.20),5.89,(1.45),145,PROPN
liberty,255,7.67,(1.30),5.92,(2.47),6.17,(2.72),46,NOUN
lice,256,2.69,(2.32),5.14,(2.18),4.62,(2.40),2,NOUN
lie,257,3.87,(2.23),5.33,(2.82),4.33,(2.53),59,NOUN
life,258,7.0,(2.37),5.42,(2.97),5.58,(2.57),715,PROPN
lightbulb,566,5.44,(1.12),3.8,(1.89),5.38,(1.17),.,VERB
lighthouse,847,6.33,(1.61),5.06,(2.26),5.06,(2.26),.,NOUN
lightning,598,5.16,(2.76),6.52,(1.81),3.72,(2.32),14,VERB
limber,848,5.45,(1.23),4.85,(1.90),4.8,(1.67),2,VERB
lion,518,5.6,(2.10),5.84,(2.43),4.64,(2.43),17,PROPN
listless,259,4.41,(1.91),4.94,(2.52),4.94,(1.61),1,NOUN
lively,849,6.89,(1.53),5.47,(2.84),6.11,(1.84),26,NOUN
locker,850,4.95,(1.59),3.41,(2.38),5.05,(2.19),9,PROPN
loneliness,260,1.67,(1.07),4.67,(3.03),2.75,(2.45),9,VERB
lonely,261,2.2,(1.26),3.8,(2.43),2.8,(1.74),25,VERB
loser,851,2.61,(1.54),4.84,(2.65),3.58,(2.24),1,VERB
lost,852,3.22,(1.70),5.89,(2.35),2.83,(1.69),173,NOUN
lottery,853,6.72,(1.45),5.11,(2.19),5.22,(1.77),1,PROPN
louse,262,3.88,(2.22),4.47,(2.24),4.19,(2.17),3,NOUN
love,263,8.6,(0.84),6.5,(3.14),7.1,(2.56),232,NOUN
loved,264,8.1,(0.99),5.5,(2.32),5.2,(2.94),56,NOUN
loyal,265,6.8,(2.24),5.0,(2.27),6.47,(2.72),18,PROPN
lucky,266,7.94,(1.24),7.0,(1.90),6.24,(2.54),21,PROPN
lump,854,4.95,(1.84),4.32,(2.67),4.47,(2.09),7,VERB
luscious,267,7.55,(1.13),6.08,(2.11),5.09,(2.17),2,PROPN
lust,519,7.32,(1.63),6.92,(1.96),6.12,(2.26),5,NOUN
luxury,268,7.5,(2.32),4.08,(2.68),6.33,(2.67),21,NOUN
machine,855,4.65,(1.63),3.8,(2.28),4.95,(2.26),103,NOUN
mad,856,2.35,(1.23),7.2,(1.77),5.75,(2.20),39,NOUN
madman,857,4.79,(2.04),5.11,(2.18),5.37,(1.83),2,NOUN
maggot,269,2.4,(1.84),4.6,(3.17),4.6,(1.43),2,VERB
magical,858,7.05,(1.75),6.05,(2.04),5.58,(2.27),12,VERB
mail,859,6.5,(1.76),5.74,(2.45),5.61,(2.03),47,NOUN
malaria,860,2.4,(1.35),4.19,(2.56),3.1,(1.59),3,PROPN
malice,270,3.56,(2.13),5.22,(2.28),4.67,(2.12),2,NOUN
man,537,6.24,(1.69),3.68,(1.86),6.28,(1.72),1207,NOUN
mangle,861,4.16,(1.77),5.79,(1.62),5.37,(1.80),.,VERB
maniac,862,4.29,(2.10),5.24,(1.92),4.24,(1.92),4,NOUN
manner,863,5.67,(0.97),4.71,(1.93),4.57,(1.99),124,NOUN
mantel,864,4.9,(1.71),3.75,(2.34),5.0,(2.03),3,VERB
manure,865,2.95,(1.76),4.05,(2.31),4.85,(1.73),6,NOUN
market,866,5.84,(1.01),4.79,(1.51),5.11,(1.29),155,NOUN
massacre,867,2.24,(1.41),5.48,(2.32),4.14,(2.15),1,VERB
masterful,271,7.27,(1.39),5.67,(2.32),6.93,(2.19),2,NOUN
masturbate,599,6.6,(1.50),6.08,(1.89),5.88,(2.32),.,VERB
material,868,5.27,(1.58),4.5,(2.41),5.18,(1.92),174,NOUN
measles,272,3.33,(1.63),4.4,(2.38),4.73,(1.98),2,VERB
medicine,869,5.57,(1.91),4.52,(2.34),4.81,(1.63),30,NOUN
meek,273,4.5,(1.64),3.3,(1.75),4.35,(2.03),10,VERB
melody,870,6.68,(2.03),4.77,(2.84),5.57,(1.89),21,VERB
memories,871,7.35,(1.63),6.2,(2.26),5.55,(1.88),15,ADV
memory,274,6.88,(1.50),5.44,(2.56),5.12,(2.33),76,NOUN
menace,275,3.18,(1.78),5.24,(2.82),5.24,(2.63),9,VERB
merry,872,7.7,(1.38),6.35,(2.01),6.85,(1.27),8,PROPN
messy,873,3.14,(1.85),3.1,(1.95),5.43,(2.42),3,VERB
metal,874,5.09,(1.31),3.82,(1.97),5.36,(1.73),61,NUM
method,875,5.9,(2.02),4.43,(2.96),6.3,(1.75),142,NOUN
mighty,276,6.1,(2.00),5.35,(2.60),7.0,(2.16),29,NOUN
mildew,277,3.36,(1.22),4.07,(1.82),4.64,(1.65),1,VERB
milk,876,6.43,(1.94),4.52,(2.75),6.14,(1.77),49,NOUN
millionaire,278,8.3,(1.34),5.6,(3.13),6.4,(3.27),2,VERB
mind,877,6.52,(2.11),5.24,(2.74),6.33,(2.44),325,ADV
miracle,279,8.4,(0.83),7.53,(1.46),5.4,(2.75),16,NOUN
mischief,878,5.4,(1.90),5.75,(2.17),5.55,(1.93),5,NOUN
misery,879,2.3,(1.53),4.95,(2.68),2.95,(1.57),15,NOUN
mistake,880,3.25,(2.07),5.15,(2.50),4.7,(2.66),34,PROPN
mobility,881,6.7,(1.92),5.45,(2.06),6.45,(1.54),8,NOUN
modest,280,5.68,(1.29),4.42,(2.12),5.11,(1.88),29,NOUN
mold,882,3.9,(1.73),4.0,(1.48),4.52,(1.63),45,VERB
moment,281,5.53,(1.70),4.56,(2.50),4.94,(2.05),246,NOUN
money,282,7.92,(1.51),5.0,(2.98),6.33,(2.61),265,VERB
month,283,5.4,(0.84),4.1,(1.66),4.8,(0.63),130,NOUN
moody,883,3.5,(1.57),4.0,(2.29),4.55,(1.90),5,NOUN
moral,884,5.95,(2.33),4.57,(2.40),5.81,(2.32),142,NOUN
morbid,284,3.4,(2.13),4.73,(2.55),4.67,(2.02),1,VERB
morgue,285,2.27,(1.53),4.2,(2.73),4.47,(2.00),1,NOUN
mosquito,885,3.29,(2.24),4.71,(2.81),4.71,(2.37),1,PROPN
mother,286,7.87,(1.46),5.2,(3.00),4.53,(2.47),216,NOUN
mountain,287,6.2,(1.82),5.8,(2.54),6.2,(2.70),33,PROPN
movie,288,6.73,(2.37),5.07,(2.34),4.67,(1.91),29,VERB
mucus,886,3.86,(2.37),3.43,(1.91),5.19,(1.89),2,NOUN
muddy,887,4.84,(1.86),3.95,(1.81),4.79,(1.51),10,NOUN
muffin,888,6.35,(1.95),4.55,(2.14),5.55,(1.61),.,NOUN
murderer,289,1.83,(1.27),7.58,(2.35),4.5,(3.32),19,VERB
muscular,290,6.08,(2.11),5.92,(2.35),6.92,(2.64),16,VERB
museum,889,5.45,(2.11),4.4,(2.19),5.4,(1.73),32,NOUN
mushroom,567,6.08,(2.26),4.96,(2.49),5.88,(2.05),2,NOUN
music,291,7.67,(1.23),5.6,(2.77),5.67,(2.32),216,NOUN
mutation,890,4.37,(2.56),4.84,(2.46),4.37,(1.95),.,PROPN
mutilate,292,1.4,(0.97),7.5,(2.07),4.6,(3.06),3,NOUN
mystic,891,5.95,(2.09),4.2,(2.17),5.45,(1.96),3,NOUN
naked,892,6.95,(2.06),6.1,(2.95),6.58,(2.12),32,PROPN
name,893,5.95,(1.90),4.75,(2.49),5.35,(2.37),294,PROPN
narcotic,894,4.5,(1.99),4.75,(2.31),4.7,(2.15),2,PROPN
nasty,895,4.21,(2.27),5.21,(2.27),5.05,(1.81),5,VERB
natural,896,6.56,(1.58),4.78,(2.24),5.56,(1.72),156,PROPN
nature,293,7.43,(1.45),4.62,(2.69),5.0,(3.34),191,PROPN
nectar,294,6.79,(1.81),3.54,(2.82),4.85,(2.91),3,PROPN
needle,897,4.11,(1.57),5.0,(2.61),4.11,(2.17),15,PROPN
neglect,898,3.33,(1.77),4.52,(2.11),3.95,(2.01),12,PROPN
nervous,899,3.74,(1.28),5.53,(1.95),4.16,(1.46),24,PROPN
neurotic,900,4.95,(1.99),4.74,(2.60),4.42,(1.80),10,PROPN
news,901,5.53,(1.43),4.55,(2.35),5.16,(1.86),102,PROPN
nice,902,6.83,(1.65),4.95,(2.82),6.06,(1.89),75,PROPN
nightmare,295,2.58,(1.38),7.45,(1.69),4.91,(1.64),9,PROPN
nipple,903,7.32,(1.45),6.68,(2.26),5.79,(2.25),.,NOUN
noisy,904,5.1,(1.92),6.15,(1.73),4.95,(1.76),6,PROPN
nonchalant,296,4.71,(1.45),3.12,(2.00),4.19,(1.72),1,VERB
nonsense,905,5.11,(1.73),4.89,(1.94),5.47,(1.47),13,PROPN
noose,906,4.14,(1.62),4.71,(2.19),4.0,(1.97),3,PROPN
nourish,907,6.24,(1.92),4.43,(2.31),5.67,(1.65),.,PROPN
nude,520,7.8,(1.66),7.12,(2.33),6.84,(2.25),20,NOUN
nuisance,908,3.84,(1.74),4.58,(2.19),4.63,(1.46),5,PROPN
nun,909,4.5,(1.58),3.11,(1.75),4.94,(1.51),2,PROPN
nurse,538,6.42,(1.98),4.88,(2.35),5.04,(2.07),17,NOUN
nursery,910,4.95,(1.87),3.47,(2.09),4.79,(1.96),13,PROPN
obesity,911,2.61,(1.38),3.21,(2.32),4.06,(2.34),5,NOUN
obey,912,4.52,(2.02),4.29,(1.82),4.38,(2.42),8,NOUN
obnoxious,913,4.0,(1.69),4.7,(1.81),5.6,(1.54),5,PROPN
obscene,914,5.21,(2.20),5.63,(2.29),4.89,(1.76),2,PROPN
obsession,915,5.72,(1.90),6.72,(1.60),5.56,(2.43),5,VERB
ocean,297,6.79,(1.48),5.36,(2.65),4.93,(3.05),34,VERB
odd,916,5.25,(1.71),4.45,(2.54),4.75,(2.05),44,PROPN
offend,917,3.37,(1.57),5.74,(1.48),4.06,(1.92),4,PROPN
office,568,5.28,(1.90),4.08,(1.82),5.28,(1.74),255,VERB
opinion,298,5.71,(1.27),4.54,(2.63),6.23,(1.69),96,PROPN
optimism,918,6.14,(2.41),4.81,(2.52),6.38,(2.20),15,PROPN
option,919,6.2,(1.20),4.75,(2.45),5.89,(1.91),5,NUM
orchestra,299,5.33,(2.57),3.0,(2.04),5.42,(2.64),60,NOUN
orgasm,920,8.45,(1.28),7.9,(1.77),6.7,(2.36),7,PROPN
outdoors,521,7.36,(2.29),5.48,(2.63),6.32,(2.34),6,NOUN
outrage,921,3.68,(2.23),6.55,(2.34),4.77,(2.76),4,ADV
outstanding,922,7.47,(1.54),6.32,(2.26),6.42,(2.04),37,NOUN
overcast,923,4.0,(1.53),4.21,(1.78),4.26,(2.00),9,PROPN
overwhelmed,300,4.87,(2.50),6.4,(3.02),4.93,(2.71),4,PROPN
owl,522,6.04,(1.27),4.0,(2.04),6.0,(1.53),2,ADJ
pain,301,2.9,(1.77),5.7,(2.27),4.32,(2.16),88,VERB
paint,924,5.16,(1.54),4.58,(2.17),5.63,(1.50),37,PROPN
palace,302,6.47,(1.97),4.82,(2.86),6.0,(2.03),38,PROPN
pamphlet,925,4.85,(1.14),3.6,(1.88),4.65,(1.73),3,PROPN
pancakes,523,6.56,(1.33),3.92,(1.98),6.2,(1.38),.,NOUN
panic,601,3.52,(1.94),6.52,(2.35),3.56,(1.92),22,PROPN
paper,303,5.33,(1.37),2.45,(2.07),4.45,(1.57),157,NOUN
paradise,304,8.6,(0.75),5.85,(3.41),6.5,(2.54),12,NOUN
paralysis,926,2.39,(1.72),4.84,(2.81),2.58,(1.84),6,PROPN
part,927,5.11,(1.60),4.67,(1.68),4.56,(1.46),500,NOUN
party,305,7.12,(1.83),6.59,(2.58),5.59,(2.35),216,NOUN
passage,928,5.53,(1.18),4.44,(1.98),5.28,(2.14),49,NOUN
passion,306,7.8,(1.14),7.7,(1.89),6.2,(2.30),28,PROPN
pasta,524,6.68,(1.70),4.88,(2.13),5.68,(1.07),.,PROPN
patent,307,5.75,(1.42),3.08,(1.93),5.42,(2.02),35,NOUN
patient,929,4.71,(1.82),4.19,(2.25),4.29,(2.03),86,NOUN
patriot,930,6.85,(1.84),6.4,(2.16),6.55,(1.73),10,PROPN
peace,308,7.25,(2.10),3.85,(2.74),5.7,(2.27),198,VERB
penalty,931,3.09,(1.66),4.68,(2.38),4.23,(2.45),14,NOUN
pencil,309,5.3,(0.67),3.0,(1.94),4.5,(0.97),34,NOUN
penis,932,5.55,(1.70),5.1,(2.77),5.95,(3.22),.,NOUN
penthouse,933,6.9,(1.65),6.2,(2.40),6.9,(2.05),1,NOUN
people,525,6.88,(1.69),5.12,(1.72),6.08,(1.63),847,NOUN
perfection,310,8.0,(1.76),5.0,(3.05),7.09,(2.07),11,NOUN
perfume,934,6.21,(1.44),5.21,(2.42),6.0,(1.45),10,PROPN
person,311,6.58,(1.44),3.58,(1.78),5.92,(1.93),175,VERB
pervert,312,4.15,(2.61),6.21,(2.91),5.46,(2.63),1,PROPN
pest,313,3.79,(2.08),5.31,(2.32),4.85,(2.51),4,NOUN
pet,935,5.86,(2.62),5.05,(2.63),5.62,(2.11),8,NOUN
phase,936,5.19,(0.40),3.57,(1.86),4.76,(1.70),72,PROPN
pie,314,6.45,(1.54),4.7,(2.18),5.25,(1.21),14,NOUN
pig,937,5.1,(2.14),4.71,(2.31),6.1,(1.95),8,PROPN
pillow,315,7.88,(1.17),3.62,(2.96),4.5,(2.16),8,VERB
pinch,938,4.38,(1.72),4.81,(2.34),5.19,(1.72),6,PROPN
pistol,939,5.89,(2.31),6.21,(1.90),6.95,(1.84),27,PROPN
pity,940,3.71,(1.49),3.48,(1.63),4.43,(1.99),14,VERB
pizza,526,6.8,(2.36),5.08,(2.22),5.32,(2.01),3,NOUN
plain,941,4.8,(1.24),3.35,(1.63),4.7,(1.30),48,PROPN
plane,539,6.32,(2.17),6.08,(2.41),4.8,(2.04),114,PROPN
plant,316,6.12,(1.41),3.31,(1.85),4.44,(1.86),125,VERB
pleasure,317,8.0,(1.05),6.2,(2.39),5.8,(2.39),62,PROPN
poetry,318,5.29,(2.17),4.35,(3.18),5.35,(1.41),88,NOUN
poison,319,2.27,(1.94),5.07,(2.55),2.8,(1.97),10,NOUN
politeness,320,6.8,(2.01),3.73,(2.43),5.13,(1.25),5,NOUN
pollute,321,2.0,(1.22),6.14,(2.18),5.77,(2.24),1,PROPN
poster,942,5.45,(1.96),4.65,(2.94),4.95,(2.09),4,VERB
poverty,322,2.08,(1.04),4.92,(2.60),3.93,(2.06),20,NOUN
power,323,7.29,(1.59),7.07,(1.44),7.29,(2.81),342,VERB
powerful,324,6.88,(1.93),5.88,(2.67),7.29,(2.49),63,NOUN
prairie,325,5.33,(1.61),3.75,(2.70),5.17,(2.62),21,NOUN
present,943,6.55,(2.01),5.6,(2.11),5.5,(1.88),377,PROPN
pressure,944,3.5,(1.19),5.55,(2.31),3.1,(1.62),185,NOUN
prestige,945,7.45,(1.64),6.15,(1.69),7.05,(1.82),29,PROPN
pretty,326,7.65,(1.42),6.65,(1.98),4.95,(1.70),107,VERB
prick,946,4.55,(1.67),4.1,(2.77),4.74,(2.08),2,NOUN
pride,327,6.53,(2.26),5.8,(2.98),6.6,(2.29),42,PROPN
priest,328,6.06,(2.46),5.41,(2.45),4.88,(2.29),16,PROPN
prison,329,2.25,(1.76),5.92,(3.34),4.58,(3.20),42,NOUN
privacy,330,5.73,(1.58),3.93,(2.09),4.87,(2.00),12,NOUN
profit,331,7.8,(1.47),7.4,(1.55),6.2,(2.68),28,PROPN
progress,947,7.45,(1.36),6.05,(2.37),6.3,(2.13),120,NOUN
promotion,332,8.0,(1.60),5.67,(2.96),6.83,(2.33),26,NOUN
protected,333,6.25,(1.97),4.1,(2.00),5.3,(1.81),31,PROPN
proud,334,8.08,(1.08),5.91,(2.59),6.73,(2.76),50,NOUN
pungent,948,4.38,(2.11),4.19,(2.20),5.1,(1.70),4,NOUN
punishment,335,2.4,(1.50),5.8,(2.54),3.53,(2.59),21,NOUN
puppy,336,7.3,(2.41),6.1,(2.69),4.8,(2.62),2,NOUN
pus,602,2.84,(2.15),4.92,(2.29),4.4,(2.10),.,PROPN
putrid,337,2.86,(1.83),5.46,(2.37),4.85,(2.12),.,NOUN
python,949,5.39,(2.38),5.56,(2.36),6.33,(2.22),14,VERB
quality,950,6.39,(1.72),4.5,(1.92),6.0,(1.46),114,NOUN
quarrel,338,3.5,(1.96),6.1,(2.07),4.05,(1.96),20,NOUN
quart,951,5.45,(1.85),4.1,(2.40),5.55,(1.90),3,NOUN
queen,952,5.81,(1.08),4.73,(1.96),4.67,(1.83),41,PROPN
quick,953,6.7,(1.59),6.65,(1.93),6.65,(1.95),68,NOUN
quiet,339,5.75,(1.54),2.5,(1.73),5.08,(2.50),76,PROPN
rabbit,527,6.4,(1.78),3.64,(1.98),6.04,(1.72),11,PROPN
rabies,340,1.58,(0.90),6.08,(2.87),4.0,(2.30),1,NOUN
radiant,954,6.35,(2.08),5.05,(2.82),5.9,(2.10),8,PROPN
radiator,955,4.5,(1.36),4.45,(2.09),4.75,(1.83),4,NOUN
radio,341,6.67,(1.59),5.36,(2.90),5.5,(2.03),120,PROPN
rage,342,2.55,(2.34),8.33,(1.23),7.18,(1.89),16,PROPN
rain,569,5.36,(2.64),3.68,(2.38),5.2,(1.87),70,PROPN
rainbow,343,8.0,(1.37),4.88,(2.68),4.88,(2.25),4,NOUN
rancid,956,4.47,(2.37),5.37,(2.22),5.32,(1.67),.,PROPN
rape,344,1.7,(1.64),5.3,(3.53),3.3,(2.45),5,ADJ
rat,345,3.5,(1.51),4.5,(2.11),5.58,(2.23),6,NOUN
rattle,346,5.5,(1.72),4.4,(1.65),3.8,(1.48),5,PROPN
razor,957,5.0,(2.03),6.22,(2.13),5.28,(2.16),15,PROPN
red,570,6.36,(1.38),4.96,(2.13),5.33,(1.37),197,NOUN
refreshment,347,7.83,(1.11),3.92,(2.54),5.0,(2.22),2,VERB
regretful,348,2.33,(1.18),5.73,(2.43),3.93,(2.52),1,PROPN
rejected,349,1.83,(1.59),6.67,(2.35),3.42,(2.81),33,NOUN
relaxed,350,6.4,(1.92),3.2,(2.48),5.6,(1.40),14,VERB
repentant,351,5.0,(1.24),4.14,(1.70),5.0,(2.35),1,VERB
reptile,958,5.5,(1.82),5.11,(2.08),5.33,(2.33),.,PROPN
rescue,352,7.9,(1.07),7.1,(2.25),6.7,(2.41),15,NOUN
resent,959,3.9,(1.41),4.24,(2.21),3.8,(1.82),8,PROPN
reserved,353,4.92,(1.73),3.0,(2.37),5.25,(2.22),27,PROPN
respect,354,7.25,(1.48),5.12,(2.32),6.25,(2.41),125,PROPN
respectful,355,6.92,(1.78),3.67,(2.77),5.17,(2.33),4,PROPN
restaurant,960,6.62,(2.09),6.14,(2.37),6.29,(1.19),41,PROPN
reunion,961,6.45,(1.96),6.05,(2.35),5.8,(2.14),11,VERB
reverent,356,5.5,(1.10),4.2,(1.70),4.84,(1.68),3,PROPN
revolt,357,3.8,(1.75),7.0,(2.16),6.7,(2.79),8,PROPN
revolver,962,5.65,(1.95),5.25,(2.02),5.75,(1.92),14,PROPN
reward,358,7.13,(1.55),4.53,(2.39),5.8,(2.18),15,PROPN
riches,359,7.47,(1.62),6.5,(2.56),6.5,(2.19),2,PROPN
ridicule,360,3.8,(2.09),4.9,(2.57),4.05,(2.50),5,PROPN
rifle,603,5.48,(2.74),6.48,(1.92),5.46,(2.70),63,NOUN
rigid,963,4.15,(2.43),4.75,(2.73),4.85,(2.21),24,VERB
riot,361,3.55,(1.64),6.15,(2.46),3.95,(2.01),7,PROPN
river,362,6.6,(1.65),4.0,(2.05),4.4,(1.07),165,NOUN
roach,363,3.08,(1.73),4.91,(2.63),5.45,(2.84),2,PROPN
robber,964,3.11,(1.59),5.7,(2.45),4.32,(2.33),2,PROPN
rock,965,5.84,(1.57),4.45,(2.35),5.26,(2.08),75,PROPN
rollercoaster,528,7.8,(1.83),7.6,(2.14),5.2,(2.83),.,PROPN
romantic,364,8.13,(1.19),7.93,(1.39),6.13,(2.45),32,PROPN
rotten,365,2.67,(1.40),4.27,(2.58),4.47,(2.07),2,NOUN
rough,966,4.71,(1.79),4.95,(1.77),4.81,(1.72),41,NOUN
rude,366,2.82,(2.27),6.42,(2.78),5.55,(2.77),6,PROPN
runner,571,5.64,(2.04),3.88,(2.26),5.8,(1.71),1,PROPN
rusty,367,3.92,(1.08),4.25,(2.38),4.92,(1.44),8,VERB
sad,368,1.87,(1.06),4.2,(2.31),4.13,(2.20),35,NOUN
safe,967,6.3,(2.20),4.0,(2.55),5.79,(1.75),58,NOUN
sailboat,529,6.52,(1.81),4.76,(2.33),5.8,(1.76),1,PROPN
saint,968,5.84,(1.71),5.05,(1.08),5.11,(2.18),16,NOUN
salad,369,5.4,(1.50),3.73,(2.46),5.67,(1.05),9,PROPN
salute,370,5.56,(1.55),5.12,(2.19),5.59,(2.18),3,ADV
sapphire,371,6.6,(2.03),5.13,(2.85),5.47,(2.29),.,NOUN
satisfied,372,7.44,(1.59),4.44,(2.01),5.11,(2.89),36,NOUN
save,969,6.27,(1.86),5.09,(2.39),6.23,(1.80),62,PROPN
savior,373,7.73,(1.49),5.87,(3.11),6.6,(2.35),6,NOUN
scalding,970,3.17,(2.20),6.89,(2.05),3.72,(2.40),1,NOUN
scandal,971,4.05,(1.65),4.95,(2.01),4.84,(1.71),8,NOUN
scapegoat,972,3.81,(1.66),4.57,(2.06),3.57,(1.80),1,NOUN
scar,973,3.6,(1.31),4.65,(1.73),4.25,(1.77),10,VERB
scared,604,3.52,(2.24),6.84,(2.10),3.48,(2.28),21,PROPN
scholar,374,7.08,(1.38),5.0,(2.19),5.82,(2.04),15,NOUN
scissors,974,5.14,(0.48),4.14,(1.82),4.95,(1.80),1,NOUN
scorching,975,3.55,(1.57),4.67,(3.09),4.14,(1.96),.,PROPN
scorn,375,3.07,(2.09),5.53,(2.26),4.4,(2.35),4,NOUN
scornful,376,4.0,(2.22),4.2,(2.17),4.8,(1.47),5,NOUN
scorpion,976,3.61,(2.03),4.63,(2.99),4.06,(2.29),.,NOUN
scream,605,4.04,(2.03),6.68,(2.36),4.68,(2.04),13,NOUN
scum,377,3.0,(1.84),5.12,(2.34),3.94,(2.05),.,VERB
scurvy,378,3.53,(2.10),4.41,(2.85),4.29,(2.31),1,PROPN
seasick,379,2.2,(1.15),5.2,(2.98),3.47,(2.03),.,NOUN
seat,380,4.6,(1.06),2.6,(1.84),4.6,(2.16),54,NOUN
secure,381,6.94,(2.16),3.0,(2.12),5.65,(2.29),30,NOUN
selfish,382,3.25,(1.96),5.33,(2.84),5.33,(1.72),8,NOUN
sentiment,977,5.76,(1.48),4.28,(2.54),4.71,(1.72),23,NOUN
serious,383,5.67,(1.72),4.0,(2.26),5.58,(1.93),116,NOUN
